Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
Indian plum,OECE,Oemleria cerasiformis,ROSACE,Rose family,MI,Yes,White,Yes,Green,Medium,Purple,Yes,No,Erect,Spring,MI
desert ironwood,OLTE,Olneya tesota,FABACE,Pea family,Spring; Summer; Fall,No,Purple,Yes,White-Gray,Fine,Brown,Yes,Yes,Rounded,Early Spring,Field Collections Only
Barbary fig,OPFI,Opuntia ficus-indica,CACTAC,Cactus family,Summer,No,Red,Yes,Green,Coarse,MI,Yes,Yes,Irregular,Mid Summer,Routinely Available
hophornbeam,OSVI,Ostrya virginiana,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
sourwood,OXAR,Oxydendrum arboreum,ERICAC,Heath family,Spring and Summer,Yes,White,Yes,Green,Coarse,Brown,No,No,Columnar,Early Summer,Routinely Available
Tahitian screwpine,PATE2,Pandanus tectorius,PANDAN,Screw-pine family,MI,Yes,White,Yes,Green,Coarse,Yellow,Yes,No,Erect,MI,MI
princesstree,PATO2,Paulownia tomentosa,SCROPH,Figwort family,Spring and Summer,Yes,Purple,Yes,Green,Coarse,Brown,Yes,No,Irregular,Mid Spring,Routinely Available
redbay,PEBO,Persea borbonia,LAURAC,Laurel family,Spring and Summer,No,Yellow,Yes,Dark Green,Medium,Black,Yes,Yes,Erect,Late Spring,Routinely Available
swamp bay,PEPA37,Persea palustris,LAURAC,Laurel family,Spring and Summer,No,Yellow,Yes,Green,Coarse,Black,Yes,No,Irregular,Early Spring,No Known Source
Norway spruce,PIAB,Picea abies,PINACE,Pine family,Spring and Summer,No,Yellow,No,Dark Green,Medium,Brown,No,Yes,Climbing,Mid Spring,Routinely Available
Brewer spruce,PIBR,Picea breweriana,PINACE,Pine family,Spring and Summer,No,Red,No,Green,Coarse,Brown,No,No,Erect,Early Summer,Contracting Only
Engelmann spruce,PIEN,Picea engelmannii,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
white spruce,PIGL,Picea glauca,PINACE,Pine family,Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
black spruce,PIMA,Picea mariana,PINACE,Pine family,Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
blue spruce,PIPU,Picea pungens,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
red spruce,PIRU,Picea rubens,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
Sitka spruce,PISI,Picea sitchensis,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
whitebark pine,PIAL,Pinus albicaulis,PINACE,Pine family,Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Mid Summer,Contracting Only
bristlecone pine,PIAR,Pinus aristata,PINACE,Pine family,Spring and Summer,No,Purple,No,Green,Medium,Brown,No,Yes,Conical,Mid Summer,Routinely Available
jack pine,PIBA2,Pinus banksiana,PINACE,Pine family,Spring and Summer,No,Yellow,No,Yellow-Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Contracting Only
Mexican pinyon,PICE,Pinus cembroides,PINACE,Pine family,Summer,Yes,Yellow,No,Dark Green,Fine,Brown,Yes,Yes,Climbing,Spring,No Known Source
sand pine,PICL,Pinus clausa,PINACE,Pine family,Spring; Summer; Fall,No,Yellow,No,Green,Fine,Brown,No,Yes,Erect,Fall,No Known Source
lodgepole pine,PICO,Pinus contorta,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Mid Summer,Routinely Available
beach pine,PICOC,Pinus contorta var. contorta,PINACE,Pine family,Spring and Summer,No,Brown,No,Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Routinely Available
Coulter pine,PICO3,Pinus coulteri,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
shortleaf pine,PIEC2,Pinus echinata,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Spring,Routinely Available
twoneedle pinyon,PIED,Pinus edulis,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Early Summer,Routinely Available
slash pine,PIEL,Pinus elliottii,PINACE,Pine family,Spring and Summer,No,Red,No,Dark Green,Fine,Brown,Yes,Yes,Erect,Winter,Routinely Available
