Common Name,Symbol,Scientific Name,Family Symbol,Family Common Name,Active Growth Period,Fall Conspicuous,Flower Color,Flower Conspicuous,Foliage Color,Foliage Texture,Fruit Color,Fruit Conspicuous,Leaf Retention,Shape and Orientation,Bloom Period,Commercial Availability
Pacific silver fir,ABAM,Abies amabilis,PINACE,Pine family,Spring and Summer,Yes,Yellow,No,Gray-Green,Medium,Brown,No,Yes,Erect,Late Spring,Routinely Available
balsam fir,ABBA,Abies balsamea,PINACE,Pine family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,Yes,Conical,Mid Summer,Routinely Available
white fir,ABCO,Abies concolor,PINACE,Pine family,Spring and Summer,No,Red,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
Fraser fir,ABFR,Abies fraseri,PINACE,Pine family,Spring and Summer,No,Purple,No,Dark Green,Medium,Brown,Yes,Yes,Erect,Mid Spring,Routinely Available
grand fir,ABGR,Abies grandis,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Field Collections Only
subalpine fir,ABLA,Abies lasiocarpa,PINACE,Pine family,Spring and Summer,No,No Flower,No,Green,Medium,Brown,No,Yes,Conical,Late Spring,Routinely Available
California red fir,ABMA,Abies magnifica,PINACE,Pine family,Spring and Summer,No,Brown,No,Dark Green,Medium,Brown,Yes,Yes,Erect,Late Spring,Contracting Only
noble fir,ABPR,Abies procera,PINACE,Pine family,Spring and Summer,No,No Flower,No,Dark Green,Medium,Purple,Yes,Yes,Erect,Late Spring,Contracting Only
koa,ACKO,Acacia koa,FABACE,Pea family,Year Round,No,Yellow,No,Green,Medium,Brown,No,Yes,Erect,Spring,Routinely Available
Sydney golden wattle,ACLO,Acacia longifolia,FABACE,Pea family,Spring and Summer,No,Yellow,Yes,Green,Fine,Brown,Yes,Yes,Semi-Erect,Summer,Routinely Available
blackwood,ACME,Acacia melanoxylon,FABACE,Pea family,Spring and Summer,No,White,Yes,Dark Green,Fine,Brown,Yes,Yes,Erect,Early Spring,No Known Source
vine maple,ACCI,Acer circinatum,ACERAC,Maple family,Spring and Summer,Yes,Green,Yes,Green,Medium,Brown,No,No,Erect,Spring,No Known Source
Amur maple,ACGI,Acer ginnala,ACERAC,Maple family,Spring and Summer,Yes,White,No,Green,Medium,Brown,Yes,No,Rounded,Mid Spring,Routinely Available
Rocky Mountain maple,ACGL,Acer glabrum,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Late Spring,Routinely Available
Douglas maple,ACGLD4,Acer glabrum var. douglasii,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Late Spring,Contracting Only
bigtooth maple,ACGR3,Acer grandidentatum,ACERAC,Maple family,Spring and Summer,No,Yellow,Yes,Green,Medium,Brown,No,No,Erect,Spring,Routinely Available
bigleaf maple,ACMA3,Acer macrophyllum,ACERAC,Maple family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Contracting Only
boxelder,ACNE2,Acer negundo,ACERAC,Maple family,Spring and Summer,Yes,White,No,Green,Coarse,Brown,Yes,No,Erect,Early Spring,Routinely Available
black maple,ACNI5,Acer nigrum,ACERAC,Maple family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,No,No,Erect,Late Spring,No Known Source
striped maple,ACPE,Acer pensylvanicum,ACERAC,Maple family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,No,No,Erect,Late Spring,No Known Source
Norway maple,ACPL,Acer platanoides,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Medium,Brown,Yes,No,Rounded,Early Spring,Routinely Available
sycamore maple,ACPS,Acer pseudoplatanus,ACERAC,Maple family,Spring and Summer,No,Green,No,Yellow-Green,Coarse,Green,Yes,No,Erect,Late Spring,No Known Source
red maple,ACRU,Acer rubrum,ACERAC,Maple family,Spring and Summer,Yes,Red,Yes,Green,Medium,Red,Yes,No,Rounded,Early Spring,Routinely Available
silver maple,ACSA2,Acer saccharinum,ACERAC,Maple family,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Brown,Yes,No,Rounded,Early Spring,Routinely Available
sugar maple,ACSA3,Acer saccharum,ACERAC,Maple family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
mountain maple,ACSP2,Acer spicatum,ACERAC,Maple family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,No,No,Erect,Spring,No Known Source
California buckeye,AECA,Aesculus californica,HIPPOC,Horse-chestnut family,Spring and Summer,Yes,White,No,Red,Coarse,Brown,Yes,No,Erect,Summer,Contracting Only
yellow buckeye,AEFL,Aesculus flava,HIPPOC,Horse-chestnut family,Spring and Summer,Yes,Yellow,Yes,Green,Coarse,Brown,Yes,No,Erect,Late Spring,No Known Source
Ohio buckeye,AEGL,Aesculus glabra,HIPPOC,Horse-chestnut family,Spring and Summer,Yes,Green,Yes,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
red buckeye,AEPA,Aesculus pavia,HIPPOC,Horse-chestnut family,Spring and Summer,No,Red,Yes,Yellow-Green,Coarse,Brown,Yes,No,Erect,Late Spring,No Known Source
tree of heaven,AIAL,Ailanthus altissima,SIMARO,Quassia family,Spring and Summer,No,Green,Yes,Green,Coarse,Yellow,Yes,No,Rounded,Late Spring,Routinely Available
silktree,ALJU,Albizia julibrissin,FABACE,Pea family,Spring and Summer,No,White,Yes,White-Gray,Fine,Brown,Yes,No,Erect,Mid Summer,Routinely Available
European alder,ALGL2,Alnus glutinosa,BETULA,Birch family,Spring and Summer,No,Purple,No,Green,Medium,Brown,Yes,No,Erect,Mid Spring,Routinely Available
gray alder,ALIN2,Alnus incana,BETULA,Birch family,Spring and Summer,No,No Flower,No,Green,Coarse,Brown,No,No,Erect,Spring,Routinely Available
thinleaf alder,ALINT,Alnus incana ssp. tenuifolia,BETULA,Birch family,Spring and Summer,No,Purple,No,Dark Green,Medium,Brown,No,No,Erect,Early Spring,Routinely Available
seaside alder,ALMA7,Alnus maritima,BETULA,Birch family,Spring and Summer,Yes,No Flower,No,Green,Medium,Brown,Yes,No,Erect,Late Summer,Routinely Available
white alder,ALRH2,Alnus rhombifolia,BETULA,Birch family,Spring and Summer,No,Green,No,Green,Medium,Brown,No,No,Erect,Fall,Routinely Available
red alder,ALRU2,Alnus rubra,BETULA,Birch family,Spring; Summer; Fall,No,Red,No,Green,Coarse,Brown,No,No,Erect,Early Spring,Routinely Available
hazel alder,ALSE2,Alnus serrulata,BETULA,Birch family,Spring and Summer,No,No Flower,No,Green,Coarse,Brown,No,No,Erect,Spring,Routinely Available
mountain alder,ALVIC,Alnus viridis ssp. crispa,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Summer,Routinely Available
Sitka alder,ALVIS,Alnus viridis ssp. sinuata,BETULA,Birch family,Spring and Summer,Yes,No Flower,No,Yellow-Green,Medium,Brown,Yes,No,Erect,Summer,Routinely Available
Saskatoon serviceberry,AMAL2,Amelanchier alnifolia,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Coarse,Red,Yes,No,Erect,Early Summer,Routinely Available
Saskatoon serviceberry,AMALS,Amelanchier alnifolia var. semiintegrifolia,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Coarse,Purple,Yes,No,Rounded,Late Spring,Contracting Only
common serviceberry,AMAR3,Amelanchier arborea,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Dark Green,Fine,Red,Yes,No,Erect,Mid Spring,Contracting Only
Canadian serviceberry,AMCA4,Amelanchier canadensis,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Coarse,Purple,Yes,No,Erect,Mid Spring,Routinely Available
Allegheny serviceberry,AMLA,Amelanchier laevis,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Purple,Yes,No,Erect,Early Spring,No Known Source
Utah serviceberry,AMUT,Amelanchier utahensis,ROSACE,Rose family,Spring and Summer,No,White,Yes,Green,Coarse,Red,Yes,No,Erect,Late Spring,Routinely Available
cabbagebark tree,ANIN,Andira inermis,FABACE,Pea family,Year Round,Yes,White,Yes,Green,Medium,Brown,Yes,Yes,Irregular,Summer,Routinely Available
pond apple,ANGL4,Annona glabra,ANNONA,Custard-apple family,MI,No,Yellow,No,Dark Green,Coarse,Green,No,No,Erect,MI,MI
sugar apple,ANSQ,Annona squamosa,ANNONA,Custard-apple family,Summer and Fall,No,Yellow,Yes,Green,Coarse,Green,Yes,Yes,Rounded,Summer,Routinely Available
devil's walkingstick,ARSP2,Aralia spinosa,ARALIA,Ginseng family,Spring and Summer,No,White,Yes,Green,Coarse,Black,No,No,Erect,Early Summer,Routinely Available
Norfolk Island pine,ARHE12,Araucaria heterophylla,ARAUCA,Araucaria family,MI,No,No Flower,No,Green,Coarse,Brown,No,Yes,Conical,MI,MI
Arizona madrone,ARAR2,Arbutus arizonica,ERICAC,Heath family,Spring; Summer; Fall,Yes,White,Yes,Dark Green,Coarse,Red,Yes,Yes,Rounded,Late Spring,Contracting Only
Pacific madrone,ARME,Arbutus menziesii,ERICAC,Heath family,Spring and Summer,Yes,White,Yes,Green,Coarse,Red,No,Yes,Rounded,Mid Spring,Routinely Available
hairy manzanita,ARCO3,Arctostaphylos columbiana,ERICAC,Heath family,Spring and Summer,No,White,Yes,Green,Medium,Brown,No,Yes,Irregular,Early Spring,No Known Source
bigberry manzanita,ARGL4,Arctostaphylos glauca,ERICAC,Heath family,Spring,No,White,Yes,Dark Green,Coarse,Brown,No,Yes,Erect,Late Winter,Contracting Only
big sagebrush,ARTR2,Artemisia tridentata,ASTERA,Aster family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,Yes,Yes,Semi-Erect,Mid Summer,Routinely Available
basin big sagebrush,ARTRT,Artemisia tridentata ssp. tridentata,ASTERA,Aster family,Spring and Summer,No,Green,Yes,Gray-Green,Medium,White,No,Yes,Rounded,Late Summer,Routinely Available
mountain big sagebrush,ARTRV,Artemisia tridentata ssp. vaseyana,ASTERA,Aster family,Spring; Summer; Fall,No,No Flower,No,Gray-Green,Coarse,Brown,No,No,Erect,Fall,Routinely Available
Wyoming big sagebrush,ARTRW8,Artemisia tridentata ssp. wyomingensis,ASTERA,Aster family,Spring and Summer,No,Yellow,No,Gray-Green,Coarse,Brown,No,No,Erect,Late Summer,Field Collections Only
pawpaw,ASTR,Asimina triloba,ANNONA,Custard-apple family,Spring and Summer,Yes,Purple,No,Dark Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
black mangrove,AVGE,Avicennia germinans,VERBEN,Verbena family,Year Round,Yes,White,Yes,Dark Green,Medium,Green,Yes,Yes,Vase,Indeterminate,Routinely Available
eastern baccharis,BAHA,Baccharis halimifolia,ASTERA,Aster family,Spring; Summer; Fall,Yes,White,Yes,Dark Green,Coarse,White,No,No,Erect,Late Summer,Routinely Available
common bamboo,BAVU2,Bambusa vulgaris,POACEA,Grass family,Year Round,No,Brown,No,Green,Fine,MI,No,Yes,Erect,Indeterminate,Routinely Available
yellow birch,BEAL2,Betula alleghaniensis,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Late Spring,Field Collections Only
sweet birch,BELE,Betula lenta,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Late Spring,Field Collections Only
river birch,BENI,Betula nigra,BETULA,Birch family,Spring and Summer,No,Brown,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
water birch,BEOC2,Betula occidentalis,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
paper birch,BEPA,Betula papyrifera,BETULA,Birch family,Spring and Summer,Yes,Yellow,Yes,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
European white birch,BEPE3,Betula pendula,BETULA,Birch family,Spring and Summer,Yes,Brown,Yes,Green,Fine,Brown,No,No,Erect,Mid Spring,Routinely Available
gray birch,BEPO,Betula populifolia,BETULA,Birch family,Spring and Summer,Yes,Brown,No,Green,Fine,Brown,No,No,Erect,Mid Spring,Routinely Available
gregorywood,BUBU,Bucida buceras,COMBRE,Indian Almond family,Fall; Winter and Spring,No,Yellow,No,Green,Fine,Black,No,Yes,Oval,Spring,Routinely Available
gumbo limbo,BUSI,Bursera simaruba,BURSER,Frankincense family,Spring,No,Green,Yes,Green,Medium,Red,No,No,Rounded,Spring,MI
bird-of-paradise shrub,CAGI,Caesalpinia gilliesii,FABACE,Pea family,Summer,Yes,White,Yes,Dark Green,Coarse,Black,Yes,Yes,Erect,Early Spring,Contracting Only
incense cedar,CADE27,Calocedrus decurrens,CUPRES,Cypress family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,Yes,Conical,Late Spring,Routinely Available
Antilles calophyllum,CAAN22,Calophyllum antillanum,CLUSIA,Mangosteen family,Spring; Summer; Fall,No,Orange,Yes,Green,Medium,Brown,No,Yes,Erect,Late Spring,Routinely Available
Alexandrian laurel,CAIN4,Calophyllum inophyllum,CLUSIA,Mangosteen family,MI,Yes,White,Yes,Green,Coarse,Brown,Yes,Yes,Irregular,MI,Routinely Available
wild cinnamon,CAWI,Canella winterana,CANELL,Canella family,Spring,No,Red,No,Green,Medium,Red,Yes,Yes,MI,Summer,Routinely Available
Jamaican caper,CACY,Capparis cynophallophora,CAPPAR,Caper family,Spring,No,Purple,Yes,Green,Coarse,Brown,Yes,Yes,Irregular,Spring,MI
falseteeth,CAFL2,Capparis flexuosa,CAPPAR,Caper family,Spring,No,White,Yes,Green,Coarse,Green,Yes,Yes,Irregular,Summer,MI
Siberian peashrub,CAAR18,Caragana arborescens,FABACE,Pea family,Spring; Summer; Fall,No,Yellow,Yes,Green,Medium,Brown,Yes,No,Erect,Late Spring,Routinely Available
papaya,CAPA23,Carica papaya,CARICA,Papaya family,Year Round,Yes,White,Yes,White-Gray,Medium,Orange,Yes,Yes,Erect,Indeterminate,Routinely Available
American hornbeam,CACA18,Carpinus caroliniana,BETULA,Birch family,Spring and Summer,Yes,Orange,Yes,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
water hickory,CAAQ2,Carya aquatica,JUGLAN,Walnut family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Erect,Mid Spring,Routinely Available
bitternut hickory,CACO15,Carya cordiformis,JUGLAN,Walnut family,Spring and Summer,Yes,Green,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
pignut hickory,CAGL8,Carya glabra,JUGLAN,Walnut family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Contracting Only
pecan,CAIL2,Carya illinoinensis,JUGLAN,Walnut family,Spring and Summer,No,Yellow,No,Yellow-Green,Fine,Brown,Yes,No,Erect,Early Spring,Routinely Available
shellbark hickory,CALA21,Carya laciniosa,JUGLAN,Walnut family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
nutmeg hickory,CAMY,Carya myristiciformis,JUGLAN,Walnut family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
shagbark hickory,CAOV2,Carya ovata,JUGLAN,Walnut family,Spring and Summer,Yes,Yellow,Yes,Green,Coarse,Brown,Yes,No,Erect,Late Spring,Routinely Available
American chestnut,CADE12,Castanea dentata,FAGACE,Beech family,Spring,Yes,White,No,Yellow-Green,Coarse,Brown,Yes,No,Erect,Early Summer,Field Collections Only
Chinese chestnut,CAMO83,Castanea mollissima,FAGACE,Beech family,Spring and Summer,Yes,Yellow,Yes,Green,Coarse,Brown,Yes,No,Erect,Mid Spring,Routinely Available
river sheoak,CACU8,Casuarina cunninghamiana,CASUAR,She-oak family,Spring; Summer; Fall,No,Red,No,Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
beach sheoak,CAEQ,Casuarina equisetifolia,CASUAR,She-oak family,Spring; Summer; Fall,No,Red,No,Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
gray sheoak,CAGL11,Casuarina glauca,CASUAR,She-oak family,Spring; Summer; Fall,No,Red,No,Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
southern catalpa,CABI8,Catalpa bignonioides,BIGNON,Trumpet-creeper family,Spring,No,White,Yes,Green,Coarse,Green,Yes,No,Erect,Mid Spring,Routinely Available
northern catalpa,CASP8,Catalpa speciosa,BIGNON,Trumpet-creeper family,Spring,Yes,White,Yes,Dark Green,Medium,Brown,Yes,No,Erect,Early Summer,Routinely Available
snowbrush ceanothus,CEVE,Ceanothus velutinus,RHAMNA,Buckthorn family,Spring and Summer,No,White,Yes,Green,Medium,Brown,No,No,Semi-Erect,Early Summer,Field Collections Only
Deodar cedar,CEDE2,Cedrus deodara,PINACE,Pine family,Spring,No,Green,No,Dark Green,Fine,Green,Yes,Yes,Erect,Late Summer,Routinely Available
sugarberry,CELA,Celtis laevigata,ULMACE,Elm family,Spring and Summer,Yes,Green,No,Green,Medium,Orange,No,No,Erect,Early Spring,Routinely Available
netleaf hackberry,CELAR,Celtis laevigata var. reticulata,ULMACE,Elm family,Spring and Summer,No,Green,No,Green,Medium,White,No,No,Erect,Mid Spring,Routinely Available
common hackberry,CEOC,Celtis occidentalis,ULMACE,Elm family,Spring and Summer,Yes,Green,No,Green,Coarse,Purple,No,No,Erect,Mid Spring,Routinely Available
common buttonbush,CEOC2,Cephalanthus occidentalis,RUBIAC,Madder family,Spring,No,White,Yes,Green,Coarse,White,Yes,No,Erect,Summer,Routinely Available
eastern redbud,CECA4,Cercis canadensis,FABACE,Pea family,Spring and Summer,No,Purple,Yes,Green,Coarse,Brown,Yes,No,Erect,Spring,Routinely Available
Texas redbud,CECAT,Cercis canadensis var. texensis,FABACE,Pea family,Spring,No,Red,Yes,Dark Green,Fine,Brown,Yes,No,Rounded,Early Spring,Routinely Available
curl-leaf mountain mahogany,CELE3,Cercocarpus ledifolius,ROSACE,Rose family,Spring; Summer; Fall,No,Yellow,Yes,Green,Coarse,Brown,No,No,Erect,Early Spring,Routinely Available
alderleaf mountain mahogany,CEMO2,Cercocarpus montanus,ROSACE,Rose family,Spring and Summer,No,White,No,Green,Coarse,Brown,No,No,Erect,Late Spring,Routinely Available
Port Orford cedar,CHLA,Chamaecyparis lawsoniana,CUPRES,Cypress family,Spring and Summer,No,Blue,No,Green,Fine,Brown,No,Yes,Conical,Mid Spring,Routinely Available
Atlantic white cedar,CHTH2,Chamaecyparis thyoides,CUPRES,Cypress family,Spring and Summer,No,Green,No,Green,Medium,Brown,No,Yes,Erect,Spring,Routinely Available
desert willow,CHLI2,Chilopsis linearis,BIGNON,Trumpet-creeper family,Spring; Summer; Fall,No,Purple,Yes,Green,Medium,Brown,No,No,Erect,Late Spring,Routinely Available
white fringetree,CHVI3,Chionanthus virginicus,OLEACE,Olive family,Spring and Summer,No,White,Yes,Green,Medium,Blue,Yes,No,Erect,Mid Spring,No Known Source
giant chinquapin,CHCHC4,Chrysolepis chrysophylla var. chrysophylla,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Coarse,Yellow,No,Yes,Erect,Mid Spring,No Known Source
grapefruit,CIPA3,Citrus ?paradisi,RUTACE,Rue family,Year Round,Yes,White,Yes,Green,Medium,Green,Yes,Yes,Columnar,Spring,Routinely Available
Kentucky yellowwood,CLKE,Cladrastis kentukea,FABACE,Pea family,Spring and Summer,Yes,White,Yes,Green,Medium,Brown,Yes,No,Erect,Early Summer,Routinely Available
tietongue,CODI8,Coccoloba diversifolia,POLYGO,Buckwheat family,Spring,No,White,Yes,Green,Medium,Purple,No,Yes,Rounded,Summer,Routinely Available
seagrape,COUV,Coccoloba uvifera,POLYGO,Buckwheat family,Year Round,No,White,No,Green,Coarse,Purple,Yes,Yes,Semi-Erect,Indeterminate,Routinely Available
coconut palm,CONU,Cocos nucifera,ARECAC,Palm family,Year Round,Yes,White,No,Green,Coarse,Brown,Yes,Yes,Erect,Indeterminate,Routinely Available
Arabian coffee,COAR2,Coffea arabica,RUBIAC,Madder family,Year Round,Yes,White,Yes,Green,Medium,Red,Yes,Yes,Rounded,Spring,Routinely Available
tiplant,COFR2,Cordyline fruticosa,LILIAC,Lily family,Year Round,No,White,Yes,Green,Coarse,Red,No,Yes,Erect,Spring,Routinely Available
alternateleaf dogwood,COAL2,Cornus alternifolia,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Dark Green,Medium,Black,Yes,No,Erect,Mid Spring,No Known Source
roughleaf dogwood,CODR,Cornus drummondii,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Medium,White,Yes,No,Erect,Mid Spring,Routinely Available
flowering dogwood,COFL2,Cornus florida,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Erect,Early Spring,Routinely Available
stiff dogwood,COFO,Cornus foemina,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Fine,Black,Yes,No,Erect,Mid Spring,Routinely Available
Cornelian cherry,COMA21,Cornus mas,CORNAC,Dogwood family,Spring and Summer,Yes,Yellow,Yes,Green,Coarse,Red,Yes,No,Erect,Mid Spring,Routinely Available
Pacific dogwood,CONU4,Cornus nuttallii,CORNAC,Dogwood family,Spring; Summer; Fall,Yes,Green,Yes,Green,Medium,Red,Yes,No,Erect,Mid Spring,Contracting Only
roundleaf dogwood,CORU,Cornus rugosa,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Coarse,Blue,Yes,No,Erect,Mid Spring,No Known Source
western dogwood,COSEO,Cornus sericea ssp. occidentalis,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Coarse,White,Yes,No,Semi-Erect,Summer,Routinely Available
redosier dogwood,COSES,Cornus sericea ssp. sericea,CORNAC,Dogwood family,Spring and Summer,Yes,White,Yes,Green,Coarse,White,Yes,No,Semi-Erect,Spring,Routinely Available
beaked hazelnut,COCO6,Corylus cornuta,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,Yes,No,Erect,Early Spring,Routinely Available
California hazelnut,COCOC,Corylus cornuta var. californica,BETULA,Birch family,Spring and Summer,No,Yellow,No,Green,Coarse,Brown,No,No,Erect,Early Spring,Contracting Only
may hawthorn,CRAE,Crataegus aestivalis,ROSACE,Rose family,Spring and Summer,No,White,Yes,Dark Green,Fine,Red,Yes,No,Erect,Mid Spring,Routinely Available
cockspur hawthorn,CRCR2,Crataegus crus-galli,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Erect,Late Spring,Routinely Available
black hawthorn,CRDO2,Crataegus douglasii,ROSACE,Rose family,Spring; Summer; Fall,Yes,White,Yes,Green,Medium,Black,Yes,No,Erect,Mid Spring,Routinely Available
parsley hawthorn,CRMA5,Crataegus marshallii,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Erect,Mid Spring,Routinely Available
oneseed hawthorn,CRMO3,Crataegus monogyna,ROSACE,Rose family,Spring and Summer,Yes,Purple,Yes,Dark Green,Medium,Red,Yes,No,Erect,Mid Spring,No Known Source
Washington hawthorn,CRPH,Crataegus phaenopyrum,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Green,Medium,Red,Yes,No,Erect,Mid Spring,Routinely Available
green hawthorn,CRVI2,Crataegus viridis,ROSACE,Rose family,Spring and Summer,Yes,White,Yes,Yellow-Green,Fine,Red,Yes,No,Erect,Early Spring,Routinely Available
common calabash tree,CRCU,Crescentia cujete,BIGNON,Trumpet-creeper family,Spring,No,Green,Yes,Green,MI,Green,Yes,Yes,MI,Summer,Routinely Available
Japanese cedar,CRJA3,Cryptomeria japonica,CUPRES,Cypress family,Spring and Summer,No,Yellow,No,Green,Fine,Brown,No,Yes,Erect,Mid Spring,Routinely Available
quince,CYOB2,Cydonia oblonga,ROSACE,Rose family,Summer,Yes,White,Yes,Green,Coarse,Yellow,Yes,No,Oval,Spring,Routinely Available
swamp titi,CYRA,Cyrilla racemiflora,CYRILL,Cyrilla family,Spring and Summer,Yes,Yellow,Yes,Yellow-Green,Coarse,Brown,No,Yes,Erect,Mid Summer,No Known Source
royal poinciana,DERE,Delonix regia,FABACE,Pea family,Year Round,No,Orange,Yes,Green,Fine,Black,Yes,No,Semi-Erect,Early Summer,Routinely Available
common persimmon,DIVI5,Diospyros virginiana,EBENAC,Ebony family,Spring and Summer,Yes,Yellow,No,Dark Green,Medium,Orange,Yes,No,Irregular,Late Spring,Routinely Available
Florida hopbush,DOVI,Dodonaea viscosa,SAPIND,Soapberry family,Spring; Summer; Fall,Yes,White,No,Red,Medium,Brown,Yes,Yes,Semi-Erect,Late Spring,Routinely Available
Russian olive,ELAN,Elaeagnus angustifolia,ELAEAG,Oleaster family,Spring and Summer,No,Yellow,Yes,White-Gray,Coarse,Yellow,Yes,No,Erect,Early Summer,Routinely Available
river redgum,EUCA2,Eucalyptus camaldulensis,MYRTAC,Myrtle family,Spring; Summer; Fall,No,Yellow,Yes,Green,Coarse,Brown,Yes,Yes,Erect,Early Spring,Routinely Available
Tasmanian bluegum,EUGL,Eucalyptus globulus,MYRTAC,Myrtle family,Fall; Winter and Spring,Yes,White,Yes,Gray-Green,Coarse,Black,Yes,Yes,Erect,Fall,Routinely Available
grand eucalyptus,EUGR12,Eucalyptus grandis,MYRTAC,Myrtle family,Fall; Winter and Spring,Yes,White,Yes,Gray-Green,Coarse,Black,Yes,Yes,Erect,Fall,Contracting Only
swampmahogany,EURO2,Eucalyptus robusta,MYRTAC,Myrtle family,Fall; Winter and Spring,Yes,Yellow,Yes,Gray-Green,Coarse,Green,Yes,Yes,Erect,Late Winter,Routinely Available
Sydney bluegum,EUSA,Eucalyptus saligna,MYRTAC,Myrtle family,Fall; Winter and Spring,No,Yellow,Yes,Gray-Green,Coarse,Black,Yes,Yes,Erect,Early Spring,Routinely Available
red stopper,EURH,Eugenia rhombea,MYRTAC,Myrtle family,MI,No,White,No,Green,Coarse,Red,Yes,Yes,Oval,Indeterminate,MI
American beech,FAGR,Fagus grandifolia,FAGACE,Beech family,Spring and Summer,Yes,Yellow,No,Green,Medium,Brown,No,No,Erect,Mid Spring,Routinely Available
candy barrelcactus,FEWI,Ferocactus wislizeni,CACTAC,Cactus family,Summer,No,Orange,Yes,Green,Coarse,Black,Yes,No,Climbing,Late Spring,Contracting Only
eastern swampprivet,FOAC,Forestiera acuminata,OLEACE,Olive family,Summer,No,Green,No,Green,Medium,Black,No,No,Erect,Spring,Routinely Available
California buckthorn,FRCAC5,Frangula californica ssp. californica,RHAMNA,Buckthorn family,Spring and Summer,No,Green,No,Green,Medium,White,Yes,Yes,Semi-Erect,Mid Spring,Routinely Available
Carolina buckthorn,FRCA13,Frangula caroliniana,RHAMNA,Buckthorn family,MI,No,Yellow,No,Green,Coarse,Black,No,No,Erect,Late Spring,MI
Cascara buckthorn,FRPU7,Frangula purshiana,RHAMNA,Buckthorn family,Spring and Summer,Yes,White,No,Dark Green,Coarse,Black,Yes,No,Semi-Erect,Mid Spring,No Known Source
Franklin tree,FRAL,Franklinia alatamaha,THEACE,Tea family,Spring and Summer,Yes,White,Yes,White-Gray,Coarse,Brown,No,No,Irregular,Late Summer,Routinely Available
white ash,FRAM2,Fraxinus americana,OLEACE,Olive family,Spring and Summer,Yes,Yellow,No,Green,Fine,Brown,Yes,No,Erect,Mid Spring,Routinely Available
